path,formal_product_layer,batches,verification,rollback
"docs/frontend_productization/rendering-detail/component-driver-takeover-inventory-v1.json","P4","B3+B4;payment-freeze;C1-workspace;C1-drawer;config-errors-closure","scope/evidence review + verify.frontend.release.local","c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb;6f446e138eb2daf433b8d0c14069c7da26acc2e4;0faa1627e61d1254ac8d645178f47905d0251d3b;907af8221cd997a87c54b90d5c971ab595870f11;dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;dba9db370ac49a99ad63d57918e812a242c9156e;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206;a485d4480186d138d11404ae756870a4bd3c65c0;64c384ff8b64466695b469e9160df623cf69a8fb;83920548d442873f5ac4b409a9fafa75e9faeb7b;8d3c67694e5b69acba713b2b2ff500737e4ee1a2;5b2e78f26a2e33288417148994f7bce49d046ec4;1b4ead47595d7247b3fbd78c2893f7a6a26ea063;fcd2568b4013d6be76fcb93c2aa689dd786d942a;a2c0d4a48ccfdb31dfba9f7f4468127d55e081bb"
"docs/frontend_productization/rendering-detail/component-professionalization-inventory-v1.json","P4","B3+B4;payment-freeze;C1-workspace;C1-drawer;config-errors-closure","scope/evidence review + verify.frontend.release.local","c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb;dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;dba9db370ac49a99ad63d57918e812a242c9156e;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206;a485d4480186d138d11404ae756870a4bd3c65c0;64c384ff8b64466695b469e9160df623cf69a8fb;83920548d442873f5ac4b409a9fafa75e9faeb7b;d5b48c44e645a616884f7e688a762c430401e72d;ea971cea500590a0686155b698ded828a6d7a1d3;5b2e78f26a2e33288417148994f7bce49d046ec4;1b4ead47595d7247b3fbd78c2893f7a6a26ea063;fcd2568b4013d6be76fcb93c2aa689dd786d942a;a2c0d4a48ccfdb31dfba9f7f4468127d55e081bb"
"docs/frontend_productization/rendering-detail/official-design-alignment-inventory-v1.json","P4","B3+B4;payment-freeze;C1-workspace;C1-drawer;config-errors-closure","scope/evidence review + verify.frontend.release.local","c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb;dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;d5b48c44e645a616884f7e688a762c430401e72d;ea971cea500590a0686155b698ded828a6d7a1d3;5b2e78f26a2e33288417148994f7bce49d046ec4;fcd2568b4013d6be76fcb93c2aa689dd786d942a;a2c0d4a48ccfdb31dfba9f7f4468127d55e081bb;de1c04cd6191acafada58746cddcedf7416676fa"
"docs/frontend_productization/rendering-detail/visual-projection-inventory-v1.json","P4","B3+B4;payment-freeze;C1-workspace;C1-drawer;config-errors-closure","scope/evidence review + verify.frontend.release.local","c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb;dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;dba9db370ac49a99ad63d57918e812a242c9156e;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206;a485d4480186d138d11404ae756870a4bd3c65c0;64c384ff8b64466695b469e9160df623cf69a8fb;83920548d442873f5ac4b409a9fafa75e9faeb7b;d5b48c44e645a616884f7e688a762c430401e72d;ea971cea500590a0686155b698ded828a6d7a1d3;5b2e78f26a2e33288417148994f7bce49d046ec4;1b4ead47595d7247b3fbd78c2893f7a6a26ea063;fcd2568b4013d6be76fcb93c2aa689dd786d942a;a2c0d4a48ccfdb31dfba9f7f4468127d55e081bb"
"docs/ops/iterations/delivery_context_switch_log_v1.md","P4","A1+A2;B3+B4;C1-workspace;C1-drawer;config-errors-closure","scope/evidence review + verify.frontend.release.local","8cdbcd7c005e6a28170800b8d76c6f190b57ab04;0fef6ba993d21015f0cdfb9cc69a8c4195c24751;281530827bf2d6297834261e4bf79226ac9bc579;0cb52305d55341f914f0e9898423f0b429e7d64c;297329088d4ff5547d9a6e5aa2febb0c0c99781f;da5f9b4d6adc3e7549d8f2a61098dd155a8a1896;30b5febb6fd1a19de598ac34a28375e43a5f6352"
"docs/ops/iterations/frontend_hierarchical_workspace_c1_20260909.md","P4","C1-workspace","verify.frontend.hierarchical_worksheet.unit + candidate browser matrices","297329088d4ff5547d9a6e5aa2febb0c0c99781f"
"docs/ops/iterations/frontend_hierarchical_workspace_c1_drawer_closure_20260909.md","P4","C1-drawer","verify.frontend.hierarchical_worksheet.unit + candidate browser matrices","da5f9b4d6adc3e7549d8f2a61098dd155a8a1896"
"docs/ops/iterations/frontend_page_experience_b3_b4_20260909.md","P4","B3+B4","scope/evidence review + verify.frontend.release.local","281530827bf2d6297834261e4bf79226ac9bc579"
"docs/ops/iterations/frontend_page_experience_g0_b1_b2_20260909.md","P4","G0+B1+B2","scope/evidence review + verify.frontend.release.local","058f8bbace2a5468f786ccac2dfae45b302aac26"
"docs/ops/iterations/frontend_page_experience_phase_a_batch_a1_a2_20260909.md","P4","A1+A2","scope/evidence review + verify.frontend.release.local","0fef6ba993d21015f0cdfb9cc69a8c4195c24751"
"docs/ops/iterations/frontend_payment_journey_expression_closure_20260909.md","P4","payment-freeze","scope/evidence review + verify.frontend.release.local","178df07bcdb8cabba19648e35a2deb4de5f3314d"
"docs/ops/iterations/frontend_system_page_baseline_delivery_20260909.md","P4","independent-review-delivery","scope/evidence review + verify.frontend.release.local","remove added delivery artifact with final delivery-docs commit"
"docs/ops/iterations/frontend_system_page_baseline_evidence_manifest_20260909.csv","P4","independent-review-delivery","scope/evidence review + verify.frontend.release.local","remove added delivery artifact with final delivery-docs commit"
"docs/ops/iterations/frontend_system_page_baseline_pr_draft_20260909.md","P4","independent-review-delivery","scope/evidence review + verify.frontend.release.local","remove added delivery artifact with final delivery-docs commit"
"docs/ops/iterations/frontend_system_page_baseline_scope_manifest_20260909.csv","P4","independent-review-delivery","scope/evidence review + verify.frontend.release.local","remove added delivery artifact with final delivery-docs commit"
"docs/ops/iterations/frontend_system_page_experience_closure_20260909.md","P4","config-errors-closure;independent-review-delivery","scope/evidence review + verify.frontend.release.local","30b5febb6fd1a19de598ac34a28375e43a5f6352;revert the final delivery-docs commit for the independent-review correction"
"docs/ops/iterations/frontend_system_productization_audit_strategy_20260909.md","P4","strategy","scope/evidence review + verify.frontend.release.local","606f49a7b5e5dcbd7765b248a069220addc11b09"
"frontend/apps/web/scripts/business_config_change_set_presentation_test.ts","P4","config-errors-closure","non-zero unit/static guard + candidate browser matrices","1b4ead47595d7247b3fbd78c2893f7a6a26ea063"
"frontend/apps/web/scripts/canonical_form_presenter_test.ts","P4","B3+B4;payment-freeze","non-zero unit/static guard + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802;f1fad6a544a5ba50e8d8b4af536bd566aeb956f5;3eb70842566b3395b23e85848d1ccbb68ea8abe4;0faa1627e61d1254ac8d645178f47905d0251d3b"
"frontend/apps/web/scripts/collection_view_semantics_test.ts","P4","payment-freeze","non-zero unit/static guard + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/scripts/hierarchical_worksheet_interaction_test.ts","P4","C1-workspace","verify.frontend.hierarchical_worksheet.unit + candidate browser matrices","dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953"
"frontend/apps/web/scripts/product_my_work_presentation_test.ts","P4","G0+B1+B2;payment-freeze","non-zero unit/static guard + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/app/action_runtime/hierarchicalWorksheetInteraction.ts","P0","C1-workspace","verify.frontend.hierarchical_worksheet.unit + candidate browser matrices","dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953"
"frontend/apps/web/src/app/action_runtime/useActionViewContractShapeRuntime.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/app/action_runtime/useActionViewLoadRequestRuntime.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/app/action_runtime/useCollectionViewContextRuntime.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","907af8221cd997a87c54b90d5c971ab595870f11"
"frontend/apps/web/src/app/presentation/canonicalFormFloorplan.ts","P0","B3+B4","verify.frontend.quick.gate + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/app/presentation/contractFormPresenter.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","3eb70842566b3395b23e85848d1ccbb68ea8abe4;0faa1627e61d1254ac8d645178f47905d0251d3b"
"frontend/apps/web/src/app/presentation/productMyWorkPresentation.ts","P0","G0+B1+B2;payment-freeze","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/components/action/ActionSurfaceToolbar.vue","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","e030139ab09291301dfd841a4681c24be87f4264"
"frontend/apps/web/src/components/action/HierarchicalWorksheet.vue","P0","C1-workspace","verify.frontend.hierarchical_worksheet.unit + candidate browser matrices","dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953;dba9db370ac49a99ad63d57918e812a242c9156e;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206;a485d4480186d138d11404ae756870a4bd3c65c0;64c384ff8b64466695b469e9160df623cf69a8fb;83920548d442873f5ac4b409a9fafa75e9faeb7b;d5b48c44e645a616884f7e688a762c430401e72d;ea971cea500590a0686155b698ded828a6d7a1d3"
"frontend/apps/web/src/components/business/MyWorkApprovalWorkspace.vue","P0","A1+A2;G0+B1+B2;B3+B4;payment-freeze","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04;d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802;f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/components/design-system/ScDrawer.vue","P0","C1-drawer","verify.frontend.quick.gate + candidate browser matrices","5b2e78f26a2e33288417148994f7bce49d046ec4"
"frontend/apps/web/src/components/design-system/ScErrorState.vue","P0","config-errors-closure","verify.frontend.quick.gate + candidate browser matrices","96d540789dbfaabbea6c2dd9ee04c610527e3a24;2baad86831887353cff4d586053bde0665e5082c"
"frontend/apps/web/src/components/design-system/ScMoney.vue","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/components/design-system/ScTable.vue","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","e030139ab09291301dfd841a4681c24be87f4264"
"frontend/apps/web/src/components/product-list/CollectionMobileRecordRow.css","P0","G0+B1+B2;B3+B4","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/components/product-list/CollectionMobileRecordRow.vue","P0","G0+B1+B2;B3+B4","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/components/product-list/CollectionRowCell.vue","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560"
"frontend/apps/web/src/components/product-page-header/ProductPageHeader.vue","P0","A1+A2","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"frontend/apps/web/src/components/professional-fields/ProfessionalBusinessValueControl.vue","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/components/role-home/WorkspaceHome.vue","P0","A1+A2;G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04;d08065ce6ecfb1346b4ad05fca3f47d854797560"
"frontend/apps/web/src/components/template/FormSection.vue","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/components/template/formSection.mapper.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/composables/shared-surface/useWorkspaceHome.ts","P0","G0+B1+B2;B3+B4","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/layouts/AppShell.css","P0","independent-review-correction","verify.frontend.page_identity + style_system.guard + candidate browser matrices","5d9e994b9202f43c3c4b129316f783b0a46a2a25"
"frontend/apps/web/src/layouts/AppShell.vue","P0","A1+A2","verify.frontend.page_identity + style_system.guard + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"frontend/apps/web/src/pages/ContractFormPage.vue","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","e030139ab09291301dfd841a4681c24be87f4264"
"frontend/apps/web/src/pages/ListPage.vue","P0","B3+B4;payment-freeze","verify.frontend.quick.gate + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802;f1fad6a544a5ba50e8d8b4af536bd566aeb956f5"
"frontend/apps/web/src/pages/contractForm/ContractFormDriverHost.vue","P0","B3+B4","verify.frontend.quick.gate + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/pages/contractForm/ObjectTaskPage.vue","P0","B3+B4","verify.frontend.quick.gate + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802"
"frontend/apps/web/src/pages/contractForm/canonicalFormRenderer.ts","P0","payment-freeze","verify.frontend.quick.gate + candidate browser matrices","3eb70842566b3395b23e85848d1ccbb68ea8abe4"
"frontend/apps/web/src/pages/contractForm/useRecordFormActions.ts","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","e030139ab09291301dfd841a4681c24be87f4264"
"frontend/apps/web/src/pages/listPage/listColumnWidth.ts","P0","G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560"
"frontend/apps/web/src/router/index.ts","P0","A1+A2","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"frontend/apps/web/src/views/BusinessConfigSurfaceView.vue","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/HomeView.vue","P0","A1+A2","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"frontend/apps/web/src/views/MyWorkView.vue","P0","A1+A2;G0+B1+B2","verify.frontend.quick.gate + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04;d08065ce6ecfb1346b4ad05fca3f47d854797560"
"frontend/apps/web/src/views/businessConfigSurface/BusinessConfigChangeSetPanel.vue","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/BusinessConfigCoverageWorkspace.vue","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/changeSetPresentation.ts","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/style.css","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","96d540789dbfaabbea6c2dd9ee04c610527e3a24;2baad86831887353cff4d586053bde0665e5082c;9115908d0b627782b7344ad7622614f4fa7dfb8a"
"frontend/apps/web/src/views/businessConfigSurface/template.html","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/useBusinessConfigDraftSession.ts","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/useBusinessConfigScopeLifecycle.ts","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"frontend/apps/web/src/views/businessConfigSurface/useBusinessConfigWorkbenchBootstrap.ts","P3","config-errors-closure","verify.business_config.unit + candidate browser matrices","213711d332d6fe389e563a37412c96e455f2ce8e"
"make/frontend.mk","P4","G0+B1+B2;C1-workspace","scope/evidence review + verify.frontend.release.local","d08065ce6ecfb1346b4ad05fca3f47d854797560;dbf8e70cf4ac09e6fbbd78efa7b725b1c1f6a953"
"make/runtime_ops.mk","P4","config-errors-closure","scope/evidence review + verify.frontend.release.local","1b4ead47595d7247b3fbd78c2893f7a6a26ea063"
"scripts/audit/generate_frontend_rendering_detail_inventory.py","P4","B3+B4","scope/evidence review + verify.frontend.release.local","c3ab688bbc30e4c278cb00564d8939dde7261802"
"scripts/dev/local_dev_candidate_frontend.py","P4","B3+B4;config-errors-closure","verify.frontend.quick.gate + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802;bc7e61567bbf66b727393e8e5a41df984bd529aa"
"scripts/verify/frontend_collection_mobile_record_row_guard.py","P4","G0+B1+B2;B3+B4","non-zero unit/static guard + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802"
"scripts/verify/frontend_home_layout_section_coverage_guard.py","P4","A1+A2","non-zero unit/static guard + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"scripts/verify/frontend_list_optional_columns_contract_test.ts","P4","G0+B1+B2","non-zero unit/static guard + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560"
"scripts/verify/frontend_my_work_approval_guard.py","P4","G0+B1+B2;B3+B4;payment-freeze","non-zero unit/static guard + candidate browser matrices","d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb"
"scripts/verify/frontend_product_page_header_guard.py","P4","A1+A2","non-zero unit/static guard + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"scripts/verify/local_dev_candidate_visual_smoke.mjs","P4","A1+A2;G0+B1+B2;B3+B4;payment-freeze;C1-workspace;C1-drawer;config-errors-closure;independent-review-correction","non-zero unit/static guard + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04;d08065ce6ecfb1346b4ad05fca3f47d854797560;c3ab688bbc30e4c278cb00564d8939dde7261802;7af4ee58a89b2782f02b308c7bf22efcf74203eb;6f446e138eb2daf433b8d0c14069c7da26acc2e4;8c5541816cba31fca79a243991792c8a567515d3;22c26da3a3844f5278f81ceede1f4cc78772639c;c43048c7704b3147d903ee1239dcaaa5c055a912;0faa1627e61d1254ac8d645178f47905d0251d3b;59212c7940a30006cdac35fca5ab11a5afeded2c;dba9db370ac49a99ad63d57918e812a242c9156e;d5aa8088f9eb2e535a2895486ba0cc1f41bdf206;83920548d442873f5ac4b409a9fafa75e9faeb7b;5b2e78f26a2e33288417148994f7bce49d046ec4;abda10891b1d0c3f8b2c3177bce7c2b91033429a;1b4ead47595d7247b3fbd78c2893f7a6a26ea063;5aa43ba220fd2b45051b9280779827b17ec10db6;d02db6b3c0ff0d52a8a82ff03e394fc1c9920945;fcd2568b4013d6be76fcb93c2aa689dd786d942a;bc7e61567bbf66b727393e8e5a41df984bd529aa;dc6e81d683e48d101cf9ec76e00f58a59a9a2811"
"scripts/verify/local_dev_candidate_visual_smoke.sh","P4","B3+B4;config-errors-closure","non-zero unit/static guard + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802;bc7e61567bbf66b727393e8e5a41df984bd529aa"
"scripts/verify/test_frontend_collection_mobile_record_row_guard.py","P4","B3+B4","non-zero unit/static guard + candidate browser matrices","c3ab688bbc30e4c278cb00564d8939dde7261802"
"scripts/verify/test_frontend_product_page_header_guard.py","P4","A1+A2","non-zero unit/static guard + candidate browser matrices","8cdbcd7c005e6a28170800b8d76c6f190b57ab04"
"scripts/verify/test_local_dev_candidate_frontend.py","P4","config-errors-closure","non-zero unit/static guard + candidate browser matrices","bc7e61567bbf66b727393e8e5a41df984bd529aa"
